Model,Sens,Sens_lb,Sens_ub,Spec,Spec_lb,Spec_ub,F1,F1_lb,F1_ub,PPV,PPV_lb,PPV_ub,NPV,NPV_lb,NPV_ub,PropR,PropR_lb,PropR_ub,TP,TN,FP,FN,Drug
SOLO,0.728,0.71,0.746,0.983,0.981,0.985,0.7749409997854537,0.7626742674063626,0.7868623479082111,0.828,0.812,0.8440000000000001,0.97,0.968,0.972,0.1,0.0969999999999999,0.104,1806,21855,375,674,Amikacin
Regression,0.7330645161290322,0.7151844668222658,0.7503925790212341,0.9802968960863696,0.9783833843765128,0.9820833192646576,0.7677364864864865,0.7554414310086379,0.7797006053403708,0.8058510638297872,0.7889145141092929,0.8219893140091594,0.9705175024494522,0.968220902128622,0.972691200798444,0.1003642250101173,0.0966445676648427,0.1041781654012027,1818,21792,438,662,Amikacin
DA,0.6875,0.6688423887137664,0.7057138418578012,0.9915879442195232,0.9902983412936456,0.9927464002486612,0.7799634034766697,0.7673842896136123,0.7921674057500314,0.9011627906976744,0.8868224364175736,0.9142450968659608,0.966035585940924,0.9636032502573548,0.968348247097312,0.1003642250101173,0.0966445676648427,0.1041781654012027,1705,22043,187,775,Amikacin
DA,0.4898746383799421,0.4590324741032696,0.5207744211143288,0.9857993586807148,0.9836234446993628,0.9877552909810418,0.5869439630271519,0.5633284722929864,0.610264179504395,0.7319884726224783,0.6973736767786366,0.7646169770389353,0.9606428093147832,0.9572171678046508,0.9638671277032952,0.0733639900955076,0.0691184681442882,0.0777861110396317,508,12912,186,529,Bedaquiline
SOLO,0.494,0.4629999999999999,0.525,0.987,0.985,0.989,0.5960419091967404,0.5724000863919032,0.6193550556284237,0.752,0.718,0.784,0.961,0.958,0.964,0.073,0.069,0.078,512,12929,169,525,Bedaquiline
Regression,0.5409836065573771,0.5100919462278634,0.5716420343827749,0.9787753855550466,0.976159811247267,0.9811750865164282,0.5980810234541578,0.5754892138066672,0.6203656358082396,0.6686531585220501,0.63565697548105,0.7004591967677715,0.9641997593261132,0.9609008504425496,0.9672934218427048,0.0733639900955076,0.0691184681442882,0.0777861110396317,561,12820,278,476,Bedaquiline
Regression,0.6987893462469734,0.6784873146365286,0.7185255380455658,0.956488403296914,0.9531744299441136,0.959631330358371,0.6889472427787061,0.6746811363177299,0.7029494044747965,0.6793785310734464,0.6590574834653469,0.6992034042186464,0.9601077475628528,0.9569167804525232,0.963125560542112,0.1165613005193045,0.1118709770587145,0.1213778902643369,1443,14970,681,622,Capreomycin
SOLO,0.662,0.6409999999999999,0.682,0.978,0.976,0.981,0.724476266242376,0.7099136622466488,0.7386901941269126,0.8009999999999999,0.7809999999999999,0.8190000000000001,0.956,0.953,0.959,0.1169999999999999,0.1119999999999999,0.121,1366,15311,340,699,Capreomycin
DA,0.6605326876513318,0.6396500756365815,0.6809585788563285,0.9784039358507444,0.9760037360563312,0.980623944078919,0.7241837005574728,0.7096087484664113,0.7384100605073086,0.8014101057579318,0.7816507803531814,0.8201242997947212,0.95622580242288,0.9529419186574396,0.9593426437137086,0.1165613005193045,0.1118709770587145,0.1213778902643369,1364,15313,338,701,Capreomycin
DA,0.1432791728212703,0.1177505876198613,0.1719624690115689,0.9892458002389822,0.987411988043052,0.9908751603747852,0.209277238403452,0.1835084033618814,0.2369076070311833,0.388,0.3272464432555065,0.4514428663726715,0.960420363040808,0.9571367819887104,0.9635194942013956,0.0454240472356414,0.0421364561039665,0.0488905134507049,97,14074,153,580,Clofazimine
