Model,Sens,Sens_lb,Sens_ub,Spec,Spec_lb,Spec_ub,F1,F1_lb,F1_ub,PPV,PPV_lb,PPV_ub,NPV,NPV_lb,NPV_ub,PropR,PropR_lb,PropR_ub,Accuracy,Accuracy_lb,Accuracy_ub,BalancedAcc,BalancedAcc_lb,BalancedAcc_ub,TP,TN,FP,FN,Drug
AF = 75%,0.7330645161290322,0.7151844668222658,0.7503925790212341,0.9802968960863696,0.9783833843765128,0.9820833192646576,0.7677364864864865,0.7554414310086379,0.7797006053403708,0.8058510638297872,0.7889145141092929,0.8219893140091594,0.9705175024494522,0.968220902128622,0.972691200798444,0.1003642250101173,0.0966445676648427,0.1041781654012027,0.9554836098745448,0.9528377903275552,0.9580216237621594,0.856680706107701,0.8566152889575089,0.8567461045306488,1818,21792,438,662,Amikacin
AF = 25%,0.760483870967742,0.7431833090009219,0.777167171003451,0.9789473684210528,0.9769738643757456,0.9807942051308792,0.7803061646669425,0.7683634959739478,0.7919093451653709,0.8011894647408666,0.7844840705729118,0.817141825065153,0.9734299516908212,0.9712368864194082,0.9754987246610954,0.1003642250101173,0.0966445676648427,0.1041781654012027,0.9570214488061514,0.9544182023176754,0.9595165069129258,0.8697156196943974,0.8696527746908502,0.8697784452859194,1886,21762,468,594,Amikacin
AF = 75%,0.5409836065573771,0.5100919462278634,0.5716420343827749,0.9787753855550466,0.976159811247267,0.9811750865164282,0.5980810234541578,0.5754892138066672,0.6203656358082396,0.6686531585220501,0.63565697548105,0.7004591967677715,0.9641997593261132,0.9609008504425496,0.9672934218427048,0.0733639900955076,0.0691184681442882,0.0777861110396317,0.9466572338167668,0.9428243712209357,0.9503048930685992,0.7598794960562119,0.759718819390833,0.7600401173362236,561,12820,278,476,Bedaquiline
AF = 25%,0.6412729026036644,0.6112303587694191,0.6705108457286215,0.9761795693999084,0.973421677671536,0.9787229906259548,0.660377358490566,0.6392241941518974,0.6810626088419178,0.6806550665301945,0.6503969954401881,0.7098197738388986,0.9717282261741906,0.9687517207602802,0.974493559652452,0.0733639900955076,0.0691184681442882,0.0777861110396317,0.9516094800141492,0.9479424067177192,0.955089187220477,0.8087262360017864,0.8085782841854852,0.8088741220211141,665,12786,312,372,Bedaquiline
AF = 25%,0.7312348668280871,0.7115527035018774,0.7502584749233554,0.9536131876557408,0.9502008766167714,0.9568555958101022,0.7021622878400372,0.6882450699903475,0.7158044550313395,0.6753130590339893,0.6554604889380649,0.694705175498404,0.9641472868217056,0.9610975832982545,0.9670209183607484,0.1165613005193045,0.1118709770587145,0.1213778902643369,0.9276924813727704,0.9237797820828388,0.9314640788940376,0.842424027241914,0.8423351838414379,0.8425128399739333,1510,14925,726,555,Capreomycin
AF = 75%,0.6987893462469734,0.6784873146365286,0.7185255380455658,0.956488403296914,0.9531744299441136,0.959631330358371,0.6889472427787061,0.6746811363177299,0.7029494044747965,0.6793785310734464,0.6590574834653469,0.6992034042186464,0.9601077475628528,0.9569167804525232,0.963125560542112,0.1165613005193045,0.1118709770587145,0.1213778902643369,0.9264506660645744,0.9225081494996284,0.9302525011559316,0.8276388747719436,0.8275467772820775,0.8277309429169831,1443,14970,681,622,Capreomycin
AF = 75%,0.2954209748892171,0.2612708609302558,0.3313657507496041,0.9777887116046952,0.97523198197982,0.9801473478732076,0.3352891869237217,0.30851496670788,0.3628780705294208,0.3875968992248062,0.3453396394175731,0.4311495467402933,0.9668473728106756,0.9637912014696042,0.9697127989984436,0.0454240472356414,0.0421364561039665,0.0488905134507049,0.9467928073000536,0.9430677392667572,0.9503422279790108,0.6366048432469562,0.6363900104495899,0.6368196349881368,200,13911,316,477,Clofazimine
AF = 25%,0.3353028064992615,0.2997866764463265,0.3722624259878938,0.974766289449638,0.972054879084034,0.977281080303254,0.3594615993665875,0.3329554521451826,0.3866237969426716,0.3873720136518771,0.3477303862595497,0.4281549236822976,0.96857102947339,0.965581349453884,0.9713682398579186,0.0454240472356414,0.0421364561039665,0.0488905134507049,0.9457192699946324,0.9419603281381388,0.949303006375694,0.6550345479744497,0.6548222221945765,0.655246827159056,227,13868,359,450,Clofazimine
AF = 75%,0.123015873015873,0.085134833251027,0.1700476089015467,0.9993939918621764,0.998751792770544,0.9997563196923956,0.2137931034482758,0.1680222351378492,0.2655177183073969,0.8157894736842105,0.6567380056890871,0.9225731481611514,0.9812154696132596,0.978597262586973,0.9835915501676415,0.0213505041091248,0.0188189423554629,0.0241217966131856,0.9806828772346012,0.9780355552806932,0.9830891999388002,0.5612049324390247,0.5608017144906793,0.561608089513,31,11544,7,221,Delamanid
AF = 25%,0.123015873015873,0.085134833251027,0.1700476089015467,0.9993939918621764,0.998751792770544,0.9997563196923956,0.2137931034482758,0.1680222351378492,0.2655177183073969,0.8157894736842105,0.6567380056890871,0.9225731481611514,0.9812154696132596,0.978597262586973,0.9835915501676415,0.0213505041091248,0.0188189423554629,0.0241217966131856,0.9806828772346012,0.9780355552806932,0.9830891999388002,0.5612049324390247,0.5608017144906793,0.561608089513,31,11544,7,221,Delamanid
