Drug,WHO_Num_R,WHO_Num_S,ALL_Num_R,ALL_Num_S,WHO_Percent_R,WHO_Percent_S,ALL_Percent_R,ALL_Percent_S
Amikacin,1066,7388,2345,21269,12.609415661225457,87.39058433877454,9.930549673922249,90.06945032607774
Bedaquiline,764,1248,880,12981,37.97216699801193,62.02783300198808,6.3487482865594105,93.65125171344059
Capreomycin,1240,8294,1941,15015,13.006083490664988,86.99391650933501,11.447275300778486,88.55272469922151
Clofazimine,194,4722,633,14057,3.9462978030919444,96.05370219690805,4.309053778080327,95.69094622191967
Delamanid,53,518,243,11351,9.281961471103326,90.71803852889667,2.0959116784543728,97.90408832154563
Ethambutol,6299,25968,9141,35039,19.521492546564602,80.4785074534354,20.690357627885923,79.30964237211407
Ethionamide,2113,3777,4951,15493,35.874363327674025,64.12563667232598,24.21737429074545,75.78262570925455
Isoniazid,13214,21371,20623,27623,38.207315310105535,61.792684689894465,42.74551258135389,57.25448741864611
Kanamycin,1521,6032,3364,20130,20.137693631669535,79.86230636833047,14.318549416872392,85.6814505831276
Levofloxacin,2563,9628,5549,21543,21.02370601263227,78.97629398736773,20.482061125055367,79.51793887494463
Linezolid,106,5794,322,15740,1.7966101694915255,98.20338983050847,2.0047316647989044,97.99526833520109
Moxifloxacin,1659,6630,3802,18588,20.014477017734347,79.98552298226565,16.98079499776686,83.01920500223315
Pyrazinamide,3706,16008,4297,16800,18.79882317135031,81.2011768286497,20.36782480921458,79.63217519078542
Rifampicin,11280,23795,16494,30755,32.15965787598004,67.84034212401995,34.9086753158797,65.0913246841203
Streptomycin,7321,10830,9815,14483,40.333865902705085,59.66613409729491,40.39427113342662,59.60572886657338
