Model,Sens,Sens_lb,Sens_ub,Spec,Spec_lb,Spec_ub,F1,F1_lb,F1_ub,PPV,PPV_lb,PPV_ub,NPV,NPV_lb,NPV_ub,PropR,PropR_lb,PropR_ub,Accuracy,Accuracy_lb,Accuracy_ub,BalancedAcc,BalancedAcc_lb,BalancedAcc_ub,TP,TN,FP,FN,Drug
AF = 25%,0.7112903225806452,0.6930113797836097,0.729069026789098,0.9905083220872696,0.989144996630027,0.991740968992018,0.7919191919191919,0.7796973018177379,0.8037571851505078,0.8931645569620253,0.8786995949542338,0.9064499259175296,0.9685067077193754,0.9661537864526532,0.9707388236879504,0.1003642250101173,0.0966445676648427,0.1041781654012031,0.9624848239579118,0.9600403029732923,0.9648197865471348,0.8508993223339574,0.8508328246983241,0.8509658015459602,1764,22019,211,716,Amikacin
AF = 75%,0.6870967741935484,0.6684332363353163,0.7053174991860499,0.991497975708502,0.9902020505657024,0.9926627943095933,0.7793276926595015,0.7667377754899461,0.791543440748715,0.9001584786053882,0.885763312116733,0.913299556714954,0.9659902704124118,0.9635563741201246,0.968304499468886,0.1003642250101173,0.0966445676648427,0.1041781654012031,0.9609469850263052,0.9584565283089544,0.9633282708010172,0.8392973749510253,0.839228811591595,0.8393659204959057,1704,22041,189,776,Amikacin
AF = 25%,0.5891996142719382,0.5585555356334062,0.619335936728156,0.987249961826233,0.9851783300335958,0.9891006682438864,0.6732782369146005,0.6511585293600992,0.6948364534699532,0.7853470437017995,0.7547987421606092,0.8137143652724892,0.9681066107658906,0.9649854005549862,0.9710216187897772,0.0733639900955076,0.0691184681442882,0.0777861110396317,0.9580474000707464,0.9546114075190602,0.9612931824733963,0.7882247880490856,0.788071099100789,0.7883784155700755,611,12931,167,426,Bedaquiline
AF = 75%,0.4860173577627772,0.4551918163940081,0.5169224677772725,0.9901511681172698,0.988308422396445,0.9917709161226824,0.6035928143712574,0.5796678676564354,0.6271529602130449,0.7962085308056872,0.7626891213721523,0.8269364440231894,0.96052436676048,0.9571020903524904,0.9637462918480212,0.0733639900955076,0.0691184681442882,0.0777861110396317,0.9531659002476124,0.9495529754740958,0.9565907751071768,0.7380842629400235,0.737918880290021,0.7382495948494325,504,12969,129,533,Bedaquiline
AF = 25%,0.7075060532687651,0.687358542334259,0.7270628336483254,0.9541882307839754,0.9507952991093778,0.957411031467378,0.6886636813575301,0.6744869200940629,0.7025802660725342,0.6707988980716253,0.6506141198377448,0.6905230747811805,0.9611275582443044,0.9579685935386556,0.9641123484753372,0.1165613005193045,0.1118709770587145,0.1213778902643369,0.9254346353578686,0.9214679603612652,0.929260972508932,0.8308471420263703,0.830755728723269,0.830938525697551,1461,14934,717,604,Capreomycin
AF = 75%,0.6760290556900727,0.6553629759585684,0.6961942364011299,0.9568717653824036,0.9535711837957984,0.9600011476534586,0.6750483558994197,0.6605339541404618,0.6893151106676048,0.6740704973442782,0.653406357803365,0.6942407680350466,0.9572387344199424,0.9539503828442264,0.9603556739297692,0.1165613005193045,0.1118709770587145,0.1213778902643368,0.9241363738993,0.9201391340907832,0.9279937146282212,0.8164504105362382,0.8163560165276382,0.8165447762024195,1396,14976,675,669,Capreomycin
AF = 25%,0.2776957163958641,0.2442518137424388,0.3130907580490149,0.9770858227314262,0.974492156922767,0.9794817420953736,0.3157010915197313,0.2893666201619353,0.3429489398344274,0.3657587548638132,0.3240240007625511,0.4090471771550156,0.9660180681028492,0.9629272315704044,0.9689185595247772,0.0454240472356414,0.0421364561039665,0.0488905134507049,0.9453166935050992,0.9415451519454784,0.948913195115628,0.6273907695636451,0.6271748118907081,0.6276066889498397,188,13901,326,489,Clofazimine
AF = 75%,0.2392909896602658,0.2076086415686942,0.2732646713604402,0.9801082448864834,0.977678057890894,0.9823391719693304,0.2887700534759358,0.2623895276870507,0.3162629966865862,0.3640449438202247,0.3192499115943764,0.4106606840053983,0.9643820457846324,0.9612316119379748,0.9673437785018016,0.0454240472356414,0.0421364561039665,0.0488905134507048,0.9464573268921096,0.94272162995186,0.9500175146410422,0.6096996172733746,0.6094817338853042,0.6099174676912417,162,13944,283,515,Clofazimine
AF = 25%,0.119047619047619,0.0817801933098168,0.1655695202106022,0.9993939918621764,0.998751792770544,0.9997563196923956,0.2076124567474048,0.1623319664608102,0.2589995717859665,0.8108108108108109,0.6484476216305258,0.9203788791471232,0.981132075471698,0.9785086836856038,0.9835134151040948,0.0213505041091248,0.0188189423554629,0.0241217966131856,0.980598153011946,0.977945530734062,0.983009829714724,0.5592208054548977,0.5588173929763248,0.5596241590326456,30,11544,7,222,Delamanid
AF = 75%,0.119047619047619,0.0817801933098168,0.1655695202106022,0.9993939918621764,0.998751792770544,0.9997563196923956,0.2076124567474048,0.1623319664608102,0.2589995717859665,0.8108108108108109,0.6484476216305258,0.9203788791471232,0.981132075471698,0.9785086836856038,0.9835134151040948,0.0213505041091248,0.0188189423554629,0.0241217966131856,0.980598153011946,0.977945530734062,0.983009829714724,0.5592208054548977,0.5588173929763248,0.5596241590326456,30,11544,7,222,Delamanid
AF = 25%,0.9242869127516778,0.9187943020188116,0.9295186522223948,0.887406542705467,0.8840951392784977,0.8906552681662319,0.7869291549484398,0.7815075614348378,0.7922761995679304,0.6851146521570152,0.6770085430201036,0.6931369443248552,0.9778866768759572,0.9762331279694492,0.9794544299139488,0.2095133472481599,0.2057822496830133,0.2132815316718263,0.8951334724815995,0.8922825334201099,0.8979339001822185,0.9058467277285724,0.9058248743288404,0.9058685777040608,8814,31928,4051,722,Ethambutol
